trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus
1,1,TrialType.Czech,2,BlockType.Alternating,1,84,84_st_4.wav
2,2,TrialType.Ostrava,2,BlockType.Alternating,1,106,106_d_4.wav
3,3,TrialType.Czech,2,BlockType.Alternating,1,50,50_st_4.wav
4,4,TrialType.Ostrava,2,BlockType.Alternating,1,11,11_d_4.wav
5,5,TrialType.Ostrava,3,BlockType.Homogenous,1,82,82_d_4.wav
6,6,TrialType.Ostrava,3,BlockType.Homogenous,1,67,67_d_4.wav
7,7,TrialType.Ostrava,3,BlockType.Homogenous,1,35,35_d_4.wav
8,8,TrialType.Ostrava,3,BlockType.Homogenous,1,100,100_d_4.wav
9,9,TrialType.Ostrava,4,BlockType.Alternating,1,43,43_d_4.wav
10,10,TrialType.Czech,4,BlockType.Alternating,1,104,104_st_4.wav
11,11,TrialType.Ostrava,4,BlockType.Alternating,1,117,117_d_4.wav
12,12,TrialType.Czech,4,BlockType.Alternating,1,44,44_st_4.wav
13,13,TrialType.Czech,1,BlockType.Homogenous,1,18,18_st_4.wav
14,14,TrialType.Czech,1,BlockType.Homogenous,1,108,108_st_4.wav
15,15,TrialType.Czech,1,BlockType.Homogenous,1,14,14_st_4.wav
16,16,TrialType.Czech,1,BlockType.Homogenous,1,17,17_st_4.wav
17,17,TrialType.Czech,2,BlockType.Alternating,2,54,54_st_4.wav
18,18,TrialType.Ostrava,2,BlockType.Alternating,2,20,20_d_4.wav
19,19,TrialType.Czech,2,BlockType.Alternating,2,114,114_st_4.wav
20,20,TrialType.Ostrava,2,BlockType.Alternating,2,57,57_d_4.wav
21,21,TrialType.Ostrava,3,BlockType.Homogenous,2,89,89_d_4.wav
22,22,TrialType.Ostrava,3,BlockType.Homogenous,2,118,118_d_4.wav
23,23,TrialType.Ostrava,3,BlockType.Homogenous,2,127,127_d_4.wav
24,24,TrialType.Ostrava,3,BlockType.Homogenous,2,133,133_d_4.wav
25,25,TrialType.Ostrava,4,BlockType.Alternating,2,110,110_d_4.wav
26,26,TrialType.Czech,4,BlockType.Alternating,2,46,46_st_4.wav
27,27,TrialType.Ostrava,4,BlockType.Alternating,2,115,115_d_4.wav
28,28,TrialType.Czech,4,BlockType.Alternating,2,95,95_st_4.wav
29,29,TrialType.Czech,1,BlockType.Homogenous,2,59,59_st_4.wav
30,30,TrialType.Czech,1,BlockType.Homogenous,2,63,63_st_4.wav
31,31,TrialType.Czech,1,BlockType.Homogenous,2,15,15_st_4.wav
32,32,TrialType.Czech,1,BlockType.Homogenous,2,51,51_st_4.wav
33,33,TrialType.Czech,2,BlockType.Alternating,3,62,62_st_4.wav
34,34,TrialType.Ostrava,2,BlockType.Alternating,3,88,88_d_4.wav
35,35,TrialType.Czech,2,BlockType.Alternating,3,111,111_st_4.wav
36,36,TrialType.Ostrava,2,BlockType.Alternating,3,116,116_d_4.wav
37,37,TrialType.Ostrava,3,BlockType.Homogenous,3,91,91_d_4.wav
38,38,TrialType.Ostrava,3,BlockType.Homogenous,3,107,107_d_4.wav
39,39,TrialType.Ostrava,3,BlockType.Homogenous,3,113,113_d_4.wav
40,40,TrialType.Ostrava,3,BlockType.Homogenous,3,122,122_d_4.wav
41,41,TrialType.Ostrava,4,BlockType.Alternating,3,76,76_d_4.wav
42,42,TrialType.Czech,4,BlockType.Alternating,3,123,123_st_4.wav
43,43,TrialType.Ostrava,4,BlockType.Alternating,3,97,97_d_4.wav
44,44,TrialType.Czech,4,BlockType.Alternating,3,6,06_st_4.wav
45,45,TrialType.Czech,1,BlockType.Homogenous,3,26,26_st_4.wav
46,46,TrialType.Czech,1,BlockType.Homogenous,3,85,85_st_4.wav
47,47,TrialType.Czech,1,BlockType.Homogenous,3,2,02_st_4.wav
48,48,TrialType.Czech,1,BlockType.Homogenous,3,81,81_st_4.wav
49,49,TrialType.Czech,2,BlockType.Alternating,4,61,61_st_4.wav
50,50,TrialType.Ostrava,2,BlockType.Alternating,4,125,125_d_4.wav
51,51,TrialType.Czech,2,BlockType.Alternating,4,25,25_st_4.wav
52,52,TrialType.Ostrava,2,BlockType.Alternating,4,73,73_d_4.wav
53,53,TrialType.Ostrava,3,BlockType.Homogenous,4,72,72_d_4.wav
54,54,TrialType.Ostrava,3,BlockType.Homogenous,4,33,33_d_4.wav
55,55,TrialType.Ostrava,3,BlockType.Homogenous,4,66,66_d_4.wav
56,56,TrialType.Ostrava,3,BlockType.Homogenous,4,124,124_d_4.wav
57,57,TrialType.Ostrava,4,BlockType.Alternating,4,34,34_d_4.wav
58,58,TrialType.Czech,4,BlockType.Alternating,4,129,129_st_4.wav
59,59,TrialType.Ostrava,4,BlockType.Alternating,4,109,109_d_4.wav
60,60,TrialType.Czech,4,BlockType.Alternating,4,92,92_st_4.wav
61,61,TrialType.Czech,1,BlockType.Homogenous,4,21,21_st_4.wav
62,62,TrialType.Czech,1,BlockType.Homogenous,4,86,86_st_4.wav
63,63,TrialType.Czech,1,BlockType.Homogenous,4,75,75_st_4.wav
64,64,TrialType.Czech,1,BlockType.Homogenous,4,119,119_st_4.wav
