,trial,set_number,block_number,trial_type,stimulus_type,trigger,stimulus
0,1,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
1,2,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
2,3,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
3,4,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
4,5,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
5,6,1,1,TrialType.nonlanguage_spectral,StimulusType.deviant,21.0,nonlanguage_spectral_deviant.wav
6,7,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
7,8,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
8,9,1,1,TrialType.nonlanguage_spectral,StimulusType.deviant,21.0,nonlanguage_spectral_deviant.wav
9,10,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
10,11,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
11,12,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
12,13,1,1,TrialType.nonlanguage_spectral,StimulusType.deviant,21.0,nonlanguage_spectral_deviant.wav
13,14,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
14,15,1,1,TrialType.nonlanguage_spectral,StimulusType.deviant,21.0,nonlanguage_spectral_deviant.wav
15,16,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
16,17,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
17,18,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
18,19,1,1,TrialType.nonlanguage_spectral,StimulusType.deviant,21.0,nonlanguage_spectral_deviant.wav
19,20,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
20,21,1,1,TrialType.nonlanguage_spectral,StimulusType.deviant,21.0,nonlanguage_spectral_deviant.wav
21,22,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
22,23,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
23,24,1,1,TrialType.nonlanguage_spectral,StimulusType.deviant,21.0,nonlanguage_spectral_deviant.wav
24,25,1,1,TrialType.nonlanguage_spectral,StimulusType.standard,20.0,nonlanguage_spectral_standard.wav
25,26,1,2,TrialType.language_spectral,StimulusType.standard,0.0,language_spectral_standard.wav
26,27,1,2,TrialType.language_spectral,StimulusType.standard,0.0,language_spectral_standard.wav
27,28,1,2,TrialType.language_spectral,StimulusType.standard,0.0,language_spectral_standard.wav
