stimulus,type,trigger1,trigger2
1,initial,558,1274
2,initial,665,1594
3,initial,805,1624
4,initial,1068,2491
5,initial,747,1718
6,initial,449,1261
7,initial,550,1735
8,initial,1289,2109
9,initial,867,1768
10,initial,588,1564
11,initial,521,1314
12,initial,650,2323
13,initial,680,1680
14,initial,1568,2590
15,initial,472,1273
16,initial,920,1948
17,initial,964,1746
18,initial,977,2153
19,initial,801,1814
20,initial,1451,2206
21,initial,742,1605
22,initial,615,1817
23,initial,927,1586
24,initial,1432,2079
25,initial,637,1536
26,initial,759,1597
27,initial,811,1800
28,initial,514,1513
29,initial,502,1304
30,initial,692,1635
31,initial,513,1752
32,initial,1124,1970
33,initial,715,1809
34,initial,756,1625
35,initial,634,1508
36,initial,1238,2441
37,initial,560,1891
38,initial,717,1555
39,initial,1051,2051
40,initial,520,1334
41,initial,1209,2073
42,initial,614,1411
43,initial,826,1983
44,initial,1044,2152
45,initial,961,1887
46,initial,949,2022
47,initial,731,1674
48,initial,646,1442
49,initial,870,1872
50,initial,652,1767
51,initial,829,1710
52,initial,1189,2143
53,initial,657,1595
54,initial,1289,2097
55,initial,780,1494
56,initial,596,1425
57,initial,429,1657
58,initial,833,1863
59,initial,715,1517
60,initial,794,1621
61,initial,646,1291
62,initial,594,1243
63,initial,623,1574
64,initial,766,1954
65,initial,684,1707
66,initial,847,1466
67,initial,825,1976
68,initial,836,1479
69,initial,1091,1975
70,initial,600,1282
1,final,585,1260
2,final,659,1516
3,final,825,1585
4,final,1092,2387
5,final,787,1710
6,final,446,1238
7,final,491,1493
8,final,1258,1985
9,final,897,1725
10,final,623,1615
11,final,512,1274
12,final,681,2385
13,final,724,1706
14,final,1567,2456
15,final,550,1365
16,final,898,1855
17,final,904,1612
18,final,1006,2156
19,final,768,1708
20,final,1806,2500
21,final,721,1595
22,final,741,1784
23,final,919,1501
24,final,1504,2145
25,final,677,1455
26,final,774,1598
27,final,985,2015
28,final,457,1324
29,final,635,1290
30,final,823,1694
31,final,541,1764
32,final,1162,2017
33,final,700,1715
34,final,783,1614
35,final,800,1702
36,final,1307,2473
37,final,530,1771
38,final,687,1460
39,final,1099,2058
40,final,495,1343
41,final,1366,2229
42,final,593,1368
43,final,818,1939
44,final,918,1935
45,final,1105,1992
46,final,966,1940
47,final,796,1706
48,final,645,1458
49,final,938,1935
50,final,736,1915
51,final,780,1666
52,final,1083,2001
53,final,637,1484
54,final,1273,2056
55,final,705,1302
56,final,575,1334
57,final,422,1546
58,final,764,1800
59,final,727,1449
60,final,829,1554
61,final,589,1177
62,final,558,1107
63,final,555,1427
64,final,791,1973
65,final,628,1582
66,final,837,1467
67,final,811,1850
68,final,708,1257
69,final,950,1767
70,final,630,1210
