Číslo věty,Initial Trigger 1,Initial Trigger 2,Final Trigger 1,Final Trigger 2
1,558,1274,585,1260
2,665,1594,659,1516
3,805,1624,825,1585
4,1068,2491,1092,2387
5,747,1718,787,1710
6,449,1261,446,1238
7,550,1735,491,1493
8,1289,2109,1258,1985
9,867,1768,897,1725
10,588,1564,623,1615
11,521,1314,512,1274
12,650,2323,681,2385
13,680,1680,724,1706
14,1568,2590,1567,2456
15,472,1273,550,1365
16,920,1948,898,1855
17,964,1746,904,1612
18,977,2153,1006,2156
19,801,1814,768,1708
20,1451,2206,1806,2500
21,742,1605,721,1595
22,615,1817,741,1784
23,927,1586,919,1501
24,1432,2079,1504,2145
25,637,1536,677,1455
26,759,1597,774,1598
27,811,1800,985,2015
28,514,1513,457,1324
29,502,1304,635,1290
30,692,1635,823,1694
31,513,1752,541,1764
32,1124,1970,1162,2017
33,715,1809,700,1715
34,756,1625,783,1614
35,634,1508,800,1702
36,1238,2441,1307,2473
37,560,1891,530,1771
38,717,1555,687,1460
39,1051,2051,1099,2058
40,520,1334,495,1343
41,1209,2073,1366,2229
42,614,1411,593,1368
43,826,1983,818,1939
44,1044,2152,918,1935
45,961,1887,1105,1992
46,949,2022,966,1940
47,731,1674,796,1706
48,646,1442,645,1458
49,870,1872,938,1935
50,652,1767,736,1915
51,829,1710,780,1666
52,1189,2143,1083,2001
53,657,1595,637,1484
54,1289,2097,1273,2056
55,780,1494,705,1302
56,596,1425,575,1334
57,429,1657,422,1546
58,833,1863,764,1800
59,715,1517,727,1449
60,794,1621,829,1554
61,646,1291,589,1177
62,594,1243,558,1107
63,623,1574,555,1427
64,766,1954,791,1973
65,684,1707,628,1582
66,847,1466,837,1467
67,825,1976,811,1850
68,836,1479,708,1257
69,1091,1975,950,1767
70,600,1282,630,1210
